,Location,Country,Date,1oHazard,2oHazard,Dead,Party,Sport
109,Murkarspitze,Austria,2020-02-09,Persistent weak layer,,1,8,Backcountry skiing
110,Fridtjofbreen,Norway,2020-02-20,Wind slab,Persistent weak layer,2,7,Snowmobiling
111,"Engelberg, Laub",Switzerland,2019-12-15,Wind slab,Persistent weak layer,1,2,Off-piste skiing
112,Piz Nair,Switzerland,2019-12-26,Wind slab,,1,4,Off-piste skiing
113,"Lauchernalp, Stieltihorn",Switzerland,2019-12-28,New snow,,1,2,Backcountry skiing
114,Rossbodenpass,Switzerland,2020-02-13,Wind slab,,2,6,Backcountry skiing
115,"Školský žlab, Chopok",Slovakia,2019-12-14,Wind slab,,1,2,Off-piste skiing
116,Aonach Mor nr Ben Nevis,United Kingdom,2020-02-28,Wind slab,,1,2,Mountaineering/Climbing
117,Cap de Vaquèira,Spain,2020-03-03,Wind slab,New snow,1,4,Off-piste skiing
118,Punta Helbronner,Italy,2019-11-30,Wind slab,Wind slab,2,2,Off-piste skiing
119,Strahleggpass,Switzerland,2020-05-07,,,1,2,Backcountry skiing
120,Tofana di Rozes - rifugio Giussani,Italy,2020-05-09,Wet snow,Wet snow,1,2,Off-piste skiing
121,Val Sesia - Passo della Civera,Italy,2019-12-15,Wind slab,Wind slab,1,4,Off-piste skiing
122,Alpe di Siusi - Hundskopf,Italy,2019-12-15,Wind slab,Wind slab,1,4,Other
123,punta Fontana fredda- Valtournanche- Cheneil,Italy,2019-12-15,Wind slab,Wind slab,1,1,Off-piste skiing
124,Solda-Schotnaufpiste,Italy,2019-12-24,Wind slab,Wind slab,1,1,Off-piste skiing
125,Senales,Italy,2019-12-28,Wind slab,Wind slab,3,6,Off-piste skiing
126,dolomiti di brenta vedretta superiore-scivolo ovest (vallone Massari),Italy,2019-12-29,Gliding snow,Wind slab,1,2,Mountaineering/Climbing
127,Pizzo del Diavolo/Canalone della Malgina,Italy,2020-05-12,Wet snow,New snow,1,1,Off-piste skiing
128,Mosgardshnjukar,Iceland,2020-01-29,Wind slab,,1,3,Backcountry skiing
129,Lammereis - Kleinglocknerkees,Austria,2020-03-08,Wind slab,,1,1,Mountaineering/Climbing
130,Hallstatt,Austria,2020-03-08,Wind slab,,5,5,Other
131,"Göller, Eisgrube",Austria,2020-03-07,Wind slab,,1,1,Off-piste skiing
132,"Hoher Ifen, Ifenmulde, Kleinwalsertal",Austria,2019-12-15,Wind slab,,1,2,Backcountry skiing
133,Mont Brûlé,Switzerland,2020-05-08,,,1,0,
134,Gråfonnfjellet,Norway,2020-05-24,Wet snow,Gliding snow,1,3,Backcountry skiing
135,Vars,France,2019-12-14,Wind slab,New snow,1,3,Off-piste skiing
136,Revel.,France,2020-01-02,Wind slab,,2,2,Backcountry skiing
137,Les Houches,France,2020-01-29,New snow,Wind slab,1,6,Off-piste skiing
138,La toussuire,France,2020-01-30,Wind slab,Wet snow,2,3,Off-piste skiing
139,Vallorcine,France,2020-03-01,Wind slab,,1,3,Off-piste skiing
140,La Plagne,France,2020-03-06,Wet snow,New snow,1,3,Off-piste skiing
141,Barèges,France,2020-03-15,Wet snow,,2,7,Backcountry skiing
142,Valmeinier,France,2020-01-24,Wind slab,Persistent weak layer,1,6,Backcountry skiing
143,Valle di Champorcher - sotto linea impianto Cimetta Rossa,Italy,2019-11-24,Wet snow,Wet snow,1,1,Off-piste skiing
144,Șerbota,Romania,2020-03-06,New snow,,1,11,Backcountry skiing
145,Lammereis - Kleinglocknerkees,Austria,2020-03-08,Wind slab,,1,0,Mountaineering/Climbing
146,"Chamonix, couloir Gervasutti",France,2020-05-31,,,1,2,Backcountry skiing
147,Großvenediger,Austria,2020-10-10,Persistent weak layer,,1,1,Mountaineering/Climbing
148,Titlis,Switzerland,2020-12-07,,,1,0,
149,Crans Montana,Switzerland,2020-12-08,,,1,0,
150,Saas Fee,Switzerland,2020-12-10,,,1,0,
151,Bedretto,Switzerland,2020-12-13,,,1,0,
152,Eggenmanndli,Switzerland,2020-12-17,,,1,0,
153,Stuben-Albonagrat \\,Austria,2020-12-14,Persistent weak layer,Wind slab,1,1,Backcountry skiing
154,Tromsdalstinden,Norway,2020-12-06,Wind slab,,1,1,Hiking on foot or snowshoeing
155,Maso corto/Val Senales,Italy,2021-01-03,Wind slab,New snow,2,2,Off-piste skiing
156,"Chasseral, La Corne",Switzerland,2020-12-31,,,1,0,
