Location,Country,Date,Avalanche Problem 1,Avalanche Problem 2,Dead,Group Size,Type
"Tignes
Details",France,2021-01-16 14:00:00,Wind slab,Persistent weak layer,1,4.0,Backcountry skiing
"Stosswihr
Details",France,2021-01-17 13:16:00,,,1,2.0,Backcountry skiing
"Saint Christophe en Oisans
Details",France,2021-01-17 14:00:00,Persistent weak layer,Wind slab,2,2.0,Backcountry skiing
"Farges
Details",France,2021-01-20 15:45:00,,,1,2.0,Backcountry skiing
"Saint-Christophe-sur-Guiers
Details",France,2021-01-20 12:00:00,Wind slab,Persistent weak layer,1,1.0,Backcountry skiing
"Jarsy
Details",France,2021-01-21 12:00:00,,,1,1.0,Backcountry skiing
"Aillons-le-Vieux
Details",France,2021-01-29 15:30:00,New snow,Wind slab,1,2.0,Backcountry skiing
"Bourg-Saint-Maurice
Details",France,2021-01-29 20:02:00,Wind slab,Persistent weak layer,1,3.0,Backcountry skiing
"La Grave
Details",France,2021-01-24 14:00:00,New snow,Wind slab,1,1.0,Backcountry skiing
"Le Freney-d\'Oisans
Details",France,2021-01-26 14:00:00,Wind slab,New snow,1,2.0,Backcountry skiing
"Aussois
Details",France,2021-01-26 17:00:00,Wind slab,Wet snow,1,2.0,Backcountry skiing
"Grust
Details",France,2021-01-26 13:15:00,Wind slab,Wet snow,1,1.0,Backcountry skiing
"Vallone Sautron/ Acceglio (CN)
Details",Italy,2021-01-30 13:15:00,New snow,Wind slab,1,10.0,Off-piste skiing
"Passo della Gardetta Acceglio (CN)
Details",Italy,2021-01-31 14:05:00,Wind slab,Wind slab,1,2.0,Off-piste skiing
"Le Monêtier les bains
Details",France,2021-01-31 13:00:00,Wind slab,Persistent weak layer,1,2.0,Backcountry skiing
"Juifenalm
Details",Austria,2021-01-30 00:00:00,Persistent weak layer,Wind slab,2,2.0,Backcountry skiing
"Widdersbergsattel
Details",Austria,2021-01-30 12:00:00,Persistent weak layer,,1,1.0,Backcountry skiing
"Neunerkogel
Details",Austria,2021-01-30 12:50:00,Persistent weak layer,,1,3.0,Off-piste skiing
"Arbeserkogel
Details",Austria,2021-02-01 10:06:00,Persistent weak layer,,1,2.0,Backcountry skiing
"Chateauroux les Alpes
Details",France,2021-02-05 13:30:00,,,1,,
"Mitterkoegerl / Teufenbachtal
Details",Austria,2021-01-30 12:00:00,Wind slab,Persistent weak layer,1,1.0,Backcountry skiing
"Cima del Bosco - Colle Chalvet
Details",Italy,2021-02-08 13:00:00,New snow,Wind slab,2,2.0,Backcountry skiing
"M. Giovo
Details",Italy,2021-02-13 13:20:00,Wind slab,Wind slab,1,3.0,Off-piste skiing
"Sella Nevea
Details",Italy,2021-02-13 14:00:00,Wind slab,Wind slab,1,1.0,Off-piste skiing
"barmerousse, 74190 Passy
Details",France,2021-02-13 12:00:00,New snow,Wind slab,1,,Backcountry skiing
"Skittentinden
Details",Norway,2021-01-16 19:00:00,Persistent weak layer,,1,1.0,Backcountry skiing
"Vassfjellet
Details",Norway,2021-01-23 15:00:00,,,1,1.0,On skiruns
"Bjørnlitinden
Details",Norway,2021-01-23 12:00:00,Wind slab,,1,2.0,Mountaineering/Climbing
"Borgdalen, Jan Mayen
Details",Norway,2021-01-30 13:50:00,,,2,3.0,Backcountry skiing
"Kondratova kopa
Details",Slovakia,2021-02-13 12:30:00,Wind slab,,2,3.0,Backcountry skiing
"Lavaldens (38350)
Details",France,2021-02-13 12:00:00,New snow,Wind slab,1,1.0,Backcountry skiing
"Krkonoše, Obří důl, Úpička
Details",Czechia,2021-02-15 12:30:00,Wind slab,Persistent weak layer,1,2.0,Backcountry skiing
"M. Velino - Valle Majelama
Details",Italy,2021-01-24 13:24:00,Wet snow,Wet snow,4,4.0,Hiking on foot or snowshoeing
"Les 2 Alpes - col des Gourses
Details",France,2021-02-21 14:30:00,Wind slab,,1,1.0,
"M. Fregasoga
Details",Italy,2021-02-22 12:30:00,Wet snow,Wet snow,1,3.0,
"Warscheneck
Details",Austria,2021-02-20 12:15:00,Persistent weak layer,Wet snow,1,2.0,
"Nendaz
Details",Switzerland,2021-01-23 12:00:00,,,1,,
"La Fouly VS
Details",Switzerland,2021-01-31 12:00:00,,,1,,
"Celerina
Details",Switzerland,2021-02-04 12:00:00,,,1,,
"Safiental
Details",Switzerland,2021-02-11 17:20:00,,,1,,
"Kistrand rv80
Details",Norway,2021-02-25 09:20:00,Wet snow,Persistent weak layer,1,1.0,Travelling on road
"Aime-La-Plagne (73 210)
Details",France,2021-03-19 10:30:00,Persistent weak layer,New snow,1,3.0,Backcountry skiing
"Passo della Manina
Details",Italy,2021-03-22 14:00:00,Wind slab,Wind slab,1,3.0,Backcountry skiing
"Bozel - Dou de Moûtiers
Details",France,2021-03-24 15:00:00,Persistent weak layer,Wet snow,1,2.0,Backcountry skiing
"Pontresina
Details",Switzerland,2021-02-17 12:00:00,,,1,,
"Davos
Details",Switzerland,2021-03-17 12:00:00,,,1,,
"Hérémence
Details",Switzerland,2021-03-20 12:00:00,,,1,,
"Ayent
Details",Switzerland,2021-03-21 12:00:00,,,1,,
"Mont-Noble
Details",Switzerland,2021-03-21 12:00:00,,,1,,
"Anniviers
Details",Switzerland,2021-03-23 12:00:00,,,1,,
"Andermatt
Details",Switzerland,2021-03-23 12:00:00,,,2,,
"Jof Fuart
Details",Italy,2021-04-16 11:30:00,Wind slab,Wind slab,2,3.0,Off-piste skiing
"Val d\'Isère
Details",France,2021-04-20 10:30:00,,,1,,Backcountry skiing
"La Grande Ruine
Details",France,2021-05-03 10:30:00,Wind slab,New snow,3,3.0,Mountaineering/Climbing
"Ailefroide Occidentale - glacier Long
Details",France,2021-05-03 11:30:00,Wind slab,New snow,2,4.0,Mountaineering/Climbing
"Villaroger (73640)
Details",France,2021-05-08 14:00:00,Wet snow,New snow,3,3.0,Backcountry skiing
"Valloire (73450)
Details",France,2021-05-08 11:00:00,Wind slab,Wet snow,4,5.0,Backcountry skiing
"Sofiatinden
Details",Norway,2021-05-01 13:25:00,Wind slab,,2,2.0,Backcountry skiing
"Gran Zebrù
Details",Italy,2021-05-19 12:30:00,Wind slab,Wind slab,2,4.0,Off-piste skiing
"Chamonix-Mont-Blanc
Details",France,2021-05-19 10:30:00,New snow,Wind slab,1,,Backcountry skiing
"Chamonix-Mont-Blanc
Details",France,2021-05-19 12:45:00,New snow,Wind slab,1,,Mountaineering/Climbing
"Chamonix-Mont-Blanc
Details",France,2021-05-20 12:00:00,New snow,Wind slab,2,,Backcountry skiing
"Brennerspitze
Details",Austria,2021-03-28 13:57:00,Persistent weak layer,,1,5.0,Backcountry skiing
"Großer Zunig
Details",Austria,2021-04-17 13:00:00,Wind slab,Persistent weak layer,2,2.0,Backcountry skiing
"Col Collon
Details",Italy,2021-05-30 13:15:00,,,1,2.0,Mountaineering/Climbing
"Tödi
Details",Switzerland,2021-05-14 12:00:00,,,2,,
"pointe de Gargan
Details",France,2021-06-03 13:00:00,Wet snow,,1,2.0,Mountaineering/Climbing
"Storžič
Details",Slovenia,2021-02-13 10:30:00,Persistent weak layer,Wind slab,2,2.0,Mountaineering/Climbing
"Storžič
Details",Slovenia,2021-02-13 13:20:00,Persistent weak layer,Wind slab,1,2.0,Mountaineering/Climbing
"Vrenelisgärtli
Details",Switzerland,2020-11-18 12:00:00,,,1,,
"Lac de Mauvoisin
Details",Switzerland,2021-06-13 11:13:00,,,1,,
"Rothorn
Details",Switzerland,2021-03-13 12:00:00,,,1,,
"Val d\'Ayas, Gran Sommettaz
Details",Italy,2021-11-29 12:05:00,,,1,,Off-piste skiing
"Roques Blanques-Pic de la Dona
Details",Spain,2021-11-28 00:00:00,Wind slab,,1,1.0,Mountaineering/Climbing
"La Thuille
Details",Italy,2021-12-07 13:09:00,Wind slab,,1,3.0,Backcountry skiing
"Monte Sorbetta
Details",Italy,2021-12-16 13:04:00,Persistent weak layer,,1,2.0,Backcountry skiing
"Zermatt
Details",Switzerland,2021-12-17 16:18:00,,,1,,
"Suchá dolina
Details",Slovakia,2021-12-13 12:20:00,Wind slab,,2,4.0,Off-piste skiing
"secteur du Pic de Corne
Details",France,2022-01-12 13:00:00,Wind slab,New snow,1,2.0,Backcountry skiing
"Gresovo, Kamenista dolina
Details",Slovakia,2022-01-19 14:30:00,Wind slab,,1,3.0,Backcountry skiing
"Kleiner Ötscher
Details",Austria,2022-01-23 11:25:00,Persistent weak layer,Wind slab,1,6.0,
"Conthey
Details",Switzerland,2022-01-21 13:00:00,,,1,5.0,Backcountry skiing
"Rin de Gein, Livigno
Details",Italy,2022-02-05 13:28:00,Wind slab,New snow,1,3.0,Off-piste skiing
"Hocheisspitze
Details",Germany,2022-01-25 12:58:00,Persistent weak layer,Wet snow,1,2.0,Backcountry skiing
"Steintalhörnl
Details",Germany,2022-02-05 12:25:00,Wind slab,Gliding snow,1,,Backcountry skiing
"Goms
Details",Switzerland,2022-02-05 14:30:00,,,1,,
"Val Müstair
Details",Switzerland,2022-02-05 12:00:00,,,1,,
"Davos
Details",Switzerland,2022-02-03 14:00:00,,,1,,
"Scuol
Details",Switzerland,2022-02-03 11:00:00,,,1,,
"Saint-Colomban-des-Villards (73130) - Tête de Bellard
Details",France,2022-02-07 13:00:00,New snow,Wind slab,2,,Off-piste skiing
"Maseben-Vilgand
Details",Italy,2022-02-08 14:05:00,Wind slab,Persistent weak layer,1,4.0,Backcountry skiing
"Engelberg
Details",Switzerland,2022-02-07 16:00:00,,,1,,
"Bergün Filisur
Details",Switzerland,2022-02-08 15:15:00,,,1,,
"Sachseln
Details",Switzerland,2022-02-17 15:00:00,,,2,,
"Poland
Details",Poland,2022-01-29 14:53:00,Wind slab,,1,2.0,Off-piste skiing
"Tatra
Details",Poland,2022-01-29 15:50:00,Wind slab,,1,2.0,Backcountry skiing
"Venet
Details",Austria,2021-12-11 12:00:00,Wind slab,,1,6.0,Off-piste skiing
"Breiteggspitze
Details",Austria,2022-02-04 17:00:00,Persistent weak layer,,2,2.0,Backcountry skiing
"Fließer Berg
Details",Austria,2022-02-04 12:45:00,Persistent weak layer,,5,6.0,Backcountry skiing
"Gammerspitze
Details",Austria,2022-02-05 17:00:00,Persistent weak layer,,1,5.0,Backcountry skiing
"Schafseitenspitze
Details",Austria,2022-02-13 12:00:00,Persistent weak layer,,1,8.0,Backcountry skiing
"Scuol
Details",Switzerland,2022-02-23 14:15:00,,,2,,
"Montvalezan 73700
Details",France,2022-02-23 12:00:00,Wind slab,Wet snow,1,,Off-piste skiing
"Hotelhang, Wendelstein
Details",Germany,2022-01-22 11:08:00,New snow,Wind slab,1,1.0,Mountaineering/Climbing
"Ötscher
Details",Austria,2022-03-11 11:45:00,Persistent weak layer,,3,4.0,Backcountry skiing
"Făgăraș Mt, Scara Valley
Details",Romania,2022-03-05 16:00:00,Wind slab,New snow,2,2.0,Off-piste skiing
"Erikaksla
Details",Norway,2022-03-30 17:20:00,Persistent weak layer,New snow,1,5.0,Backcountry skiing
"Lackenspitze
Details",Austria,2021-12-04 13:30:00,Wind slab,Persistent weak layer,3,11.0,Backcountry skiing
"Gavarnie
Details",France,2022-03-10 12:00:00,Wind slab,,1,2.0,Other
"Cap de Vaquèira
Details",Spain,2022-04-04 13:15:00,Wind slab,,1,2.0,Off-piste skiing
"Beretlia, Lyngen
Details",Norway,2022-04-07 14:30:00,Persistent weak layer,Wind slab,3,9.0,Backcountry skiing
"Saint Christophe en Oisans
Details",France,2022-04-05 10:00:00,Wet snow,Gliding snow,2,2.0,Backcountry skiing
"Acceglio- Monte Vallonasso
Details",Italy,2022-04-09 13:48:00,Wind slab,,1,4.0,Off-piste skiing
"Chamonix-Mont-Blanc(74400)
Details",France,2022-04-09 18:00:00,New snow,Wind slab,2,8.0,Other
"Vals
Details",Switzerland,2022-04-15 14:00:00,,,2,,Backcountry skiing
"Ortles - Solda
Details",Italy,2022-04-27 14:30:00,Wind slab,Wind slab,2,2.0,Mountaineering/Climbing
